"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","si-4377-linux",,,,"User:","brooksch"
"Cmdline:","dstat -tcm --output dstat_siads521.csv",,,,"Date:","20 Oct 2019 14:44:21 EDT"

"system","total cpu usage",,,,,,"memory usage",,,
20-10 14:44:50,9.250,1.125,89.250,0.375,0.0,0.0,9788604416.0,283705344.0,4398813184.0,2297577472.0
20-10 14:44:51,5.196,11.027,77.693,5.830,0.0,0.253,9275904000.0,288038912.0,4411183104.0,2793574400.0
20-10 14:44:52,6.133,1.502,87.359,4.881,0.0,0.125,9298382848.0,288038912.0,4411195392.0,2771083264.0
20-10 14:44:53,5.912,0.377,93.585,0.0,0.0,0.126,9297518592.0,288038912.0,4411781120.0,2771361792.0
20-10 14:44:54,1.377,0.501,98.123,0.0,0.0,0.0,9299623936.0,288038912.0,4411883520.0,2769154048.0
20-10 14:44:55,7.731,1.521,87.452,3.169,0.0,0.127,9337638912.0,290545664.0,4430155776.0,2710360064.0
20-10 14:44:56,16.981,2.642,68.931,11.321,0.0,0.126,9371123712.0,290729984.0,4480102400.0,2626744320.0
20-10 14:44:57,4.282,2.645,85.013,8.060,0.0,0.0,9363439616.0,290729984.0,4525514752.0,2589016064.0
20-10 14:44:58,4.511,1.629,93.233,0.627,0.0,0.0,9370341376.0,290881536.0,4528824320.0,2578653184.0
20-10 14:44:59,4.869,0.999,94.132,0.0,0.0,0.0,9369890816.0,290881536.0,4528926720.0,2579001344.0
20-10 14:45:00,7.035,5.905,84.296,2.764,0.0,0.0,9372463104.0,292945920.0,4566589440.0,2536701952.0
20-10 14:45:01,4.994,12.546,80.268,1.949,0.0,0.244,9384845312.0,302637056.0,4623577088.0,2457640960.0
20-10 14:45:02,17.484,14.088,64.403,3.899,0.0,0.126,9540419584.0,311021568.0,4663128064.0,2254131200.0
20-10 14:45:03,2.349,1.483,95.179,0.124,0.0,0.865,9544970240.0,311033856.0,4663697408.0,2248998912.0
20-10 14:45:04,7.654,0.753,91.468,0.0,0.0,0.125,9545699328.0,311033856.0,4661497856.0,2250469376.0
20-10 14:45:05,3.856,2.736,93.408,0.0,0.0,0.0,9548898304.0,311033856.0,4661473280.0,2247294976.0
20-10 14:45:06,5.576,3.470,90.830,0.0,0.0,0.124,9559392256.0,311136256.0,4661559296.0,2236612608.0
20-10 14:45:07,26.592,4.619,68.290,0.499,0.0,0.0,9646936064.0,311930880.0,4679782400.0,2130051072.0
20-10 14:45:08,34.449,6.444,58.488,0.372,0.0,0.248,9726251008.0,312262656.0,4708450304.0,2021736448.0
20-10 14:45:09,16.853,1.611,81.289,0.124,0.0,0.124,9719099392.0,312410112.0,4700344320.0,2036846592.0
20-10 14:45:10,6.038,0.881,92.956,0.0,0.0,0.126,9723691008.0,312410112.0,4702535680.0,2030063616.0
20-10 14:45:11,4.804,0.379,94.690,0.126,0.0,0.0,9718894592.0,312422400.0,4701741056.0,2035642368.0
20-10 14:45:12,6.415,1.761,90.943,0.881,0.0,0.0,9746509824.0,312479744.0,4716085248.0,1993625600.0
20-10 14:45:13,0.750,0.625,98.500,0.125,0.0,0.0,9746821120.0,312492032.0,4705787904.0,2003599360.0
20-10 14:45:14,1.006,0.0,98.994,0.0,0.0,0.0,9747456000.0,312492032.0,4705787904.0,2002964480.0
20-10 14:45:15,5.689,1.391,92.794,0.126,0.0,0.0,9751490560.0,312492032.0,4715417600.0,1989300224.0
20-10 14:45:16,15.637,2.774,81.589,0.0,0.0,0.0,9759481856.0,312492032.0,4722847744.0,1973878784.0
20-10 14:45:17,3.153,0.504,96.343,0.0,0.0,0.0,9761644544.0,312500224.0,4721070080.0,1973485568.0
20-10 14:45:18,8.723,1.517,89.507,0.253,0.0,0.0,9759703040.0,312504320.0,4729577472.0,1966915584.0
20-10 14:45:19,8.312,2.141,89.547,0.0,0.0,0.0,9735565312.0,312557568.0,4732190720.0,1988386816.0
20-10 14:45:20,1.385,0.252,98.363,0.0,0.0,0.0,9730863104.0,312557568.0,4721958912.0,2003320832.0
20-10 14:45:21,2.648,0.631,96.721,0.0,0.0,0.0,9731289088.0,312557568.0,4721373184.0,2003480576.0
20-10 14:45:22,4.046,0.632,95.322,0.0,0.0,0.0,9730682880.0,312557568.0,4725501952.0,1999958016.0
20-10 14:45:23,8.197,1.513,84.111,6.179,0.0,0.0,9750597632.0,312582144.0,4727214080.0,1978306560.0
20-10 14:45:24,18.354,2.405,78.608,0.380,0.0,0.253,9768599552.0,312586240.0,4728320000.0,1959194624.0
20-10 14:45:25,2.882,1.128,95.865,0.0,0.0,0.125,9770319872.0,312586240.0,4728045568.0,1957748736.0
20-10 14:45:26,6.658,1.633,91.583,0.126,0.0,0.0,9765478400.0,312590336.0,4727980032.0,1962651648.0
20-10 14:45:27,6.072,1.735,92.193,0.0,0.0,0.0,9765793792.0,312594432.0,4727947264.0,1962364928.0
20-10 14:45:28,6.642,0.877,92.105,0.376,0.0,0.0,9762856960.0,312762368.0,4727967744.0,1965113344.0
20-10 14:45:29,4.642,1.380,93.601,0.0,0.0,0.376,9762197504.0,312762368.0,4732612608.0,1961127936.0
20-10 14:45:30,3.875,1.500,94.625,0.0,0.0,0.0,9763340288.0,312762368.0,4732612608.0,1959985152.0
20-10 14:45:31,4.321,2.222,93.457,0.0,0.0,0.0,9763053568.0,312762368.0,4732612608.0,1960271872.0
20-10 14:45:32,7.491,1.748,90.512,0.250,0.0,0.0,9766080512.0,312770560.0,4735545344.0,1954304000.0
20-10 14:45:33,3.262,0.753,95.985,0.0,0.0,0.0,9765425152.0,312770560.0,4738072576.0,1952432128.0
20-10 14:45:34,2.509,1.004,96.487,0.0,0.0,0.0,9765543936.0,312770560.0,4735700992.0,1954684928.0
20-10 14:45:35,8.690,1.259,90.050,0.0,0.0,0.0,9768951808.0,312770560.0,4735705088.0,1951272960.0
20-10 14:45:36,10.480,1.136,88.384,0.0,0.0,0.0,9768120320.0,312770560.0,4735438848.0,1952370688.0
20-10 14:45:37,11.742,1.263,86.995,0.0,0.0,0.0,9764143104.0,312770560.0,4734803968.0,1956982784.0
20-10 14:45:38,9.596,1.136,89.015,0.253,0.0,0.0,9761751040.0,312791040.0,4735250432.0,1958907904.0
20-10 14:45:39,8.492,1.141,90.114,0.253,0.0,0.0,9758015488.0,312795136.0,4734853120.0,1963036672.0
20-10 14:45:40,10.227,1.263,88.510,0.0,0.0,0.0,9758167040.0,312795136.0,4735119360.0,1962618880.0
20-10 14:45:41,10.253,0.886,88.861,0.0,0.0,0.0,9754828800.0,312795136.0,4735004672.0,1966071808.0
20-10 14:45:42,9.925,1.508,88.568,0.0,0.0,0.0,9755037696.0,312795136.0,4735012864.0,1965854720.0
20-10 14:45:43,7.403,1.129,91.343,0.125,0.0,0.0,9755947008.0,312799232.0,4735270912.0,1964683264.0
20-10 14:45:44,5.119,1.498,93.383,0.0,0.0,0.0,9755148288.0,312799232.0,4735131648.0,1965621248.0
20-10 14:45:45,10.165,1.017,88.818,0.0,0.0,0.0,9757847552.0,312799232.0,4735131648.0,1962921984.0
20-10 14:45:46,10.692,1.132,88.176,0.0,0.0,0.0,9757769728.0,312799232.0,4735139840.0,1962991616.0
20-10 14:45:47,9.774,1.378,88.847,0.0,0.0,0.0,9757335552.0,312799232.0,4735139840.0,1963425792.0
20-10 14:45:48,10.076,0.882,89.043,0.0,0.0,0.0,9757552640.0,312799232.0,4737646592.0,1960701952.0
20-10 14:45:49,7.925,1.258,90.692,0.126,0.0,0.0,9758420992.0,312803328.0,4743704576.0,1953771520.0
20-10 14:45:50,5.934,1.136,92.929,0.0,0.0,0.0,9762091008.0,312803328.0,4743704576.0,1950101504.0
20-10 14:45:51,8.020,1.754,90.226,0.0,0.0,0.0,9761861632.0,312803328.0,4743438336.0,1950597120.0
20-10 14:45:52,3.778,1.134,94.962,0.126,0.0,0.0,9761869824.0,312803328.0,4743176192.0,1950851072.0
20-10 14:45:53,5.793,1.259,92.821,0.126,0.0,0.0,9761198080.0,312803328.0,4739751936.0,1954947072.0
20-10 14:45:54,10.625,1.625,87.750,0.0,0.0,0.0,9763086336.0,312807424.0,4733726720.0,1959079936.0
20-10 14:45:55,6.832,1.366,91.801,0.0,0.0,0.0,9763065856.0,312807424.0,4733730816.0,1959096320.0
20-10 14:45:56,3.894,0.879,95.226,0.0,0.0,0.0,9737113600.0,312807424.0,4733988864.0,1984790528.0
20-10 14:45:57,7.143,1.003,91.855,0.0,0.0,0.0,9736871936.0,312807424.0,4734255104.0,1984765952.0
20-10 14:45:58,8.608,1.392,90.0,0.0,0.0,0.0,9730347008.0,312807424.0,4733853696.0,1991692288.0
20-10 14:45:59,10.038,1.757,88.080,0.125,0.0,0.0,9731440640.0,312827904.0,4726538240.0,1997893632.0
20-10 14:46:00,10.886,1.392,87.468,0.253,0.0,0.0,9731063808.0,312848384.0,4725583872.0,1999204352.0
20-10 14:46:01,8.176,1.132,90.692,0.0,0.0,0.0,9731768320.0,312848384.0,4725583872.0,1998499840.0
20-10 14:46:02,9.229,1.264,89.507,0.0,0.0,0.0,9731502080.0,312848384.0,4725850112.0,1998499840.0
20-10 14:46:03,2.018,1.261,96.721,0.0,0.0,0.0,9732009984.0,312848384.0,4728086528.0,1995755520.0
20-10 14:46:04,10.692,0.503,88.679,0.0,0.0,0.126,9732902912.0,312852480.0,4725874688.0,1997070336.0
20-10 14:46:05,5.801,0.757,93.443,0.0,0.0,0.0,9738010624.0,312856576.0,4725870592.0,1991962624.0
20-10 14:46:06,8.734,0.886,90.380,0.0,0.0,0.0,9737908224.0,312856576.0,4725612544.0,1992323072.0
20-10 14:46:07,10.214,1.387,88.398,0.0,0.0,0.0,9738641408.0,312856576.0,4725874688.0,1991327744.0
20-10 14:46:08,8.071,1.135,90.794,0.0,0.0,0.0,9735372800.0,312856576.0,4725612544.0,1994858496.0
20-10 14:46:09,8.333,1.263,90.404,0.0,0.0,0.0,9730256896.0,312856576.0,4725469184.0,2000117760.0
20-10 14:46:10,10.038,1.255,88.708,0.0,0.0,0.0,9729900544.0,312856576.0,4725878784.0,2000064512.0
20-10 14:46:11,6.936,1.135,91.803,0.126,0.0,0.0,9730220032.0,312860672.0,4725882880.0,1999736832.0
20-10 14:46:12,12.121,1.894,85.985,0.0,0.0,0.0,9730007040.0,312860672.0,4725620736.0,2000211968.0
20-10 14:46:13,8.816,0.882,90.302,0.0,0.0,0.0,9730564096.0,312860672.0,4725645312.0,1999630336.0
20-10 14:46:14,4.414,0.883,94.704,0.0,0.0,0.0,9730965504.0,312860672.0,4725645312.0,1999228928.0
20-10 14:46:15,11.683,1.382,86.935,0.0,0.0,0.0,9733005312.0,312860672.0,4726059008.0,1996775424.0
20-10 14:46:16,8.217,1.138,90.518,0.126,0.0,0.0,9732825088.0,312860672.0,4725653504.0,1997361152.0
20-10 14:46:17,9.264,0.761,89.975,0.0,0.0,0.0,9732296704.0,312860672.0,4725919744.0,1997623296.0
20-10 14:46:18,6.415,1.006,92.579,0.0,0.0,0.0,9733406720.0,312860672.0,4736704512.0,1985728512.0
20-10 14:46:19,4.397,1.005,94.598,0.0,0.0,0.0,9733922816.0,312860672.0,4734214144.0,1987702784.0
20-10 14:46:20,10.814,1.145,87.913,0.127,0.0,0.0,9733689344.0,312860672.0,4734218240.0,1987932160.0
20-10 14:46:21,12.532,1.392,86.076,0.0,0.0,0.0,9734107136.0,312868864.0,4733947904.0,1987776512.0
20-10 14:46:22,9.673,1.382,88.819,0.126,0.0,0.0,9734012928.0,312868864.0,4733693952.0,1988124672.0
20-10 14:46:23,8.827,1.765,89.407,0.0,0.0,0.0,9733279744.0,312868864.0,4725682176.0,1996869632.0
20-10 14:46:24,9.811,2.893,87.296,0.0,0.0,0.0,9736011776.0,312868864.0,4725833728.0,1993986048.0
20-10 14:46:25,8.965,1.263,89.773,0.0,0.0,0.0,9737109504.0,312868864.0,4725833728.0,1992888320.0
20-10 14:46:26,3.764,1.129,94.981,0.125,0.0,0.0,9736699904.0,312872960.0,4725837824.0,1993289728.0
20-10 14:46:27,8.772,1.128,90.100,0.0,0.0,0.0,9737117696.0,312872960.0,4725837824.0,1992871936.0
20-10 14:46:28,2.635,0.878,96.487,0.0,0.0,0.0,9733173248.0,312881152.0,4725833728.0,1996812288.0
20-10 14:46:29,2.635,0.878,96.487,0.0,0.0,0.0,9732734976.0,312881152.0,4725690368.0,1997393920.0
20-10 14:46:30,2.509,0.878,96.612,0.0,0.0,0.0,9732513792.0,312881152.0,4726108160.0,1997197312.0
20-10 14:46:31,2.008,1.129,96.863,0.0,0.0,0.0,9731596288.0,312881152.0,4726112256.0,1998110720.0
20-10 14:46:32,2.261,0.879,96.859,0.0,0.0,0.0,9732464640.0,312881152.0,4724518912.0,1998835712.0
20-10 14:46:33,2.993,1.122,95.761,0.125,0.0,0.0,9734467584.0,312885248.0,4726366208.0,1994981376.0
20-10 14:46:34,7.351,0.887,91.762,0.0,0.0,0.0,9735946240.0,312885248.0,4726124544.0,1993744384.0
20-10 14:46:35,9.391,1.269,89.340,0.0,0.0,0.0,9740148736.0,312885248.0,4726128640.0,1989537792.0
20-10 14:46:36,9.772,1.142,89.086,0.0,0.0,0.0,9740300288.0,312885248.0,4725858304.0,1989656576.0
20-10 14:46:37,5.514,0.877,93.484,0.125,0.0,0.0,9739411456.0,312885248.0,4726120448.0,1990283264.0
20-10 14:46:38,7.107,1.396,91.497,0.0,0.0,0.0,9736876032.0,312885248.0,4726128640.0,1992810496.0
20-10 14:46:39,6.125,1.125,92.625,0.125,0.0,0.0,9733451776.0,312893440.0,4725866496.0,1996488704.0
20-10 14:46:40,9.217,1.263,89.520,0.0,0.0,0.0,9733349376.0,312893440.0,4726284288.0,1996173312.0
20-10 14:46:41,7.224,1.267,91.508,0.0,0.0,0.0,9733238784.0,312893440.0,4734255104.0,1988313088.0
20-10 14:46:42,4.046,0.885,95.070,0.0,0.0,0.0,9732374528.0,312893440.0,4734427136.0,1989005312.0
20-10 14:46:43,4.678,0.632,94.564,0.126,0.0,0.0,9733689344.0,312909824.0,4734427136.0,1987674112.0
20-10 14:46:44,2.390,1.006,96.604,0.0,0.0,0.0,9732235264.0,312909824.0,4734435328.0,1989120000.0
20-10 14:46:45,2.522,0.757,96.721,0.0,0.0,0.0,9732280320.0,312909824.0,4734435328.0,1989074944.0
20-10 14:46:46,2.522,0.757,96.721,0.0,0.0,0.0,9733898240.0,312909824.0,4726378496.0,1995513856.0
20-10 14:46:47,2.258,0.878,96.738,0.0,0.0,0.125,9734602752.0,312909824.0,4726157312.0,1995030528.0
20-10 14:46:48,3.008,0.627,96.366,0.0,0.0,0.0,9737134080.0,312909824.0,4726562816.0,1992093696.0
20-10 14:46:49,2.753,1.001,95.995,0.250,0.0,0.0,9736630272.0,312913920.0,4724744192.0,1994412032.0
20-10 14:46:50,2.387,1.005,96.608,0.0,0.0,0.0,9736781824.0,312913920.0,4724338688.0,1994665984.0
20-10 14:46:51,2.144,0.883,96.974,0.0,0.0,0.0,9737166848.0,312913920.0,4724334592.0,1994285056.0
20-10 14:46:52,3.0,0.875,96.125,0.0,0.0,0.0,9737465856.0,312913920.0,4723924992.0,1994395648.0
20-10 14:46:53,2.267,0.882,96.851,0.0,0.0,0.0,9734873088.0,312913920.0,4723929088.0,1996984320.0
20-10 14:46:54,10.013,1.141,88.720,0.127,0.0,0.0,9738031104.0,312918016.0,4725764096.0,1991987200.0
20-10 14:46:55,9.125,1.394,89.354,0.127,0.0,0.0,9738960896.0,312918016.0,4725768192.0,1991053312.0
20-10 14:46:56,9.160,1.018,89.822,0.0,0.0,0.0,9739538432.0,312918016.0,4725768192.0,1990475776.0
20-10 14:46:57,5.675,0.757,93.569,0.0,0.0,0.0,9738735616.0,312918016.0,4726190080.0,1990856704.0
20-10 14:46:58,3.769,0.879,95.352,0.0,0.0,0.0,9738711040.0,312918016.0,4725780480.0,1991290880.0
20-10 14:46:59,8.460,1.389,90.152,0.0,0.0,0.0,9735753728.0,312922112.0,4725784576.0,1994240000.0
20-10 14:47:00,9.379,1.267,89.354,0.0,0.0,0.0,9734430720.0,312922112.0,4725784576.0,1995563008.0
20-10 14:47:01,9.137,1.142,88.198,1.523,0.0,0.0,9735692288.0,312922112.0,4726198272.0,1993887744.0
20-10 14:47:02,11.139,1.752,87.109,0.0,0.0,0.0,9735901184.0,312922112.0,4725792768.0,1994084352.0
20-10 14:47:03,13.892,2.003,84.105,0.0,0.0,0.0,9737744384.0,312922112.0,4728291328.0,1989742592.0
20-10 14:47:04,12.374,0.758,86.869,0.0,0.0,0.0,9739026432.0,312922112.0,4726071296.0,1990680576.0
20-10 14:47:05,8.091,1.011,90.771,0.126,0.0,0.0,9739497472.0,312922112.0,4726079488.0,1990201344.0
20-10 14:47:06,2.778,0.631,96.591,0.0,0.0,0.0,9740431360.0,312922112.0,4725809152.0,1989537792.0
20-10 14:47:07,2.396,0.378,97.226,0.0,0.0,0.0,9739796480.0,312922112.0,4725809152.0,1990172672.0
20-10 14:47:08,3.026,0.757,96.217,0.0,0.0,0.0,9737728000.0,312922112.0,4726226944.0,1991823360.0
20-10 14:47:09,10.279,1.523,88.071,0.127,0.0,0.0,9733394432.0,312930304.0,4725813248.0,1996562432.0
20-10 14:47:10,6.566,1.010,92.424,0.0,0.0,0.0,9733668864.0,312930304.0,4725821440.0,1996279808.0
20-10 14:47:11,3.250,0.875,95.875,0.0,0.0,0.0,9738080256.0,312930304.0,4726235136.0,1991454720.0
20-10 14:47:12,2.522,0.631,96.847,0.0,0.0,0.0,9738579968.0,312930304.0,4725837824.0,1991352320.0
20-10 14:47:13,4.654,0.629,94.717,0.0,0.0,0.0,9738821632.0,312930304.0,4725841920.0,1991106560.0
20-10 14:47:14,9.722,1.515,88.763,0.0,0.0,0.0,9739431936.0,312938496.0,4725841920.0,1990488064.0
20-10 14:47:15,10.139,1.141,88.720,0.0,0.0,0.0,9736671232.0,312938496.0,4726255616.0,1992835072.0
20-10 14:47:16,6.792,1.258,91.824,0.126,0.0,0.0,9736613888.0,312938496.0,4725846016.0,1993302016.0
20-10 14:47:17,8.344,1.011,90.645,0.0,0.0,0.0,9737207808.0,312938496.0,4726521856.0,1992032256.0
20-10 14:47:18,9.091,1.263,89.520,0.126,0.0,0.0,9738801152.0,312938496.0,4729020416.0,1987940352.0
20-10 14:47:19,5.556,1.010,93.434,0.0,0.0,0.0,9739743232.0,312946688.0,4726792192.0,1989218304.0
20-10 14:47:20,6.091,0.888,93.020,0.0,0.0,0.0,9738792960.0,312946688.0,4726538240.0,1990422528.0
20-10 14:47:21,4.937,0.380,94.557,0.127,0.0,0.0,9738919936.0,312954880.0,4726276096.0,1990549504.0
20-10 14:47:22,4.569,0.508,94.924,0.0,0.0,0.0,9739042816.0,312954880.0,4726280192.0,1990422528.0
20-10 14:47:23,6.305,0.757,92.938,0.0,0.0,0.0,9737830400.0,312954880.0,4725870592.0,1992044544.0
20-10 14:47:24,10.520,1.267,88.213,0.0,0.0,0.0,9737027584.0,312954880.0,4726140928.0,1992577024.0
20-10 14:47:25,4.937,0.759,94.304,0.0,0.0,0.0,9739808768.0,312954880.0,4725878784.0,1990057984.0
20-10 14:47:26,6.171,0.882,92.821,0.126,0.0,0.0,9740419072.0,312963072.0,4726284288.0,1989033984.0
20-10 14:47:27,11.787,1.267,86.819,0.0,0.0,0.127,9742008320.0,312963072.0,4726300672.0,1987428352.0
20-10 14:47:28,11.534,1.521,86.946,0.0,0.0,0.0,9741787136.0,312963072.0,4734853120.0,1979097088.0
20-10 14:47:29,10.985,1.010,87.879,0.0,0.0,0.126,9739108352.0,312963072.0,4734853120.0,1981775872.0
20-10 14:47:30,12.075,1.509,86.164,0.0,0.0,0.252,9738125312.0,312963072.0,4734861312.0,1982750720.0
20-10 14:47:31,9.010,1.523,89.467,0.0,0.0,0.0,9738928128.0,312963072.0,4734599168.0,1982210048.0
20-10 14:47:32,5.815,1.011,92.920,0.126,0.0,0.126,9738711040.0,312967168.0,4734607360.0,1982414848.0
20-10 14:47:33,6.399,1.255,92.221,0.0,0.0,0.125,9741148160.0,312967168.0,4728832000.0,1985753088.0
20-10 14:47:34,8.091,1.138,90.771,0.0,0.0,0.0,9741778944.0,312967168.0,4726603776.0,1987350528.0
20-10 14:47:35,7.838,1.517,90.645,0.0,0.0,0.0,9744961536.0,312967168.0,4726607872.0,1984163840.0
20-10 14:47:36,5.429,1.515,92.929,0.126,0.0,0.0,9745993728.0,312983552.0,4726079488.0,1983643648.0
20-10 14:47:37,10.114,1.896,87.990,0.0,0.0,0.0,9746264064.0,312983552.0,4726083584.0,1983369216.0
20-10 14:47:38,10.692,2.642,86.667,0.0,0.0,0.0,9744302080.0,312983552.0,4726493184.0,1984921600.0
20-10 14:47:39,10.076,1.259,88.665,0.0,0.0,0.0,9739911168.0,312983552.0,4726353920.0,1989451776.0
20-10 14:47:40,7.152,1.757,90.966,0.125,0.0,0.0,9739358208.0,312983552.0,4726358016.0,1990000640.0
20-10 14:47:41,3.011,0.878,95.985,0.125,0.0,0.0,9738452992.0,312995840.0,4726210560.0,1991041024.0
20-10 14:47:42,4.391,3.011,92.597,0.0,0.0,0.0,9737445376.0,312995840.0,4726099968.0,1992159232.0
20-10 14:47:43,5.038,1.134,93.829,0.0,0.0,0.0,9737125888.0,312995840.0,4726104064.0,1992474624.0
20-10 14:47:44,7.779,1.506,90.715,0.0,0.0,0.0,9738428416.0,312995840.0,4726513664.0,1990762496.0
20-10 14:47:45,3.518,0.503,95.980,0.0,0.0,0.0,9738833920.0,312995840.0,4725956608.0,1990914048.0
20-10 14:47:46,7.375,2.0,90.625,0.0,0.0,0.0,9738063872.0,312999936.0,4725968896.0,1991667712.0
20-10 14:47:47,4.277,1.132,94.591,0.0,0.0,0.0,9736953856.0,312999936.0,4726374400.0,1992372224.0
20-10 14:47:48,10.327,2.897,86.776,0.0,0.0,0.0,9749581824.0,312999936.0,4730052608.0,1976066048.0
20-10 14:47:49,5.625,0.875,93.500,0.0,0.0,0.0,9751461888.0,313004032.0,4728745984.0,1975488512.0
20-10 14:47:50,2.384,0.753,96.863,0.0,0.0,0.0,9750454272.0,313004032.0,4728369152.0,1976872960.0
20-10 14:47:51,2.128,1.126,96.746,0.0,0.0,0.0,9751183360.0,313004032.0,4728102912.0,1976410112.0
20-10 14:47:52,2.264,0.629,96.981,0.126,0.0,0.0,9751048192.0,313012224.0,4728369152.0,1976270848.0
20-10 14:47:53,3.026,0.504,96.469,0.0,0.0,0.0,9739575296.0,313012224.0,4727173120.0,1988939776.0
20-10 14:47:54,8.240,1.498,90.262,0.0,0.0,0.0,9741615104.0,313012224.0,4724731904.0,1989341184.0
20-10 14:47:55,5.786,0.881,93.208,0.126,0.0,0.0,9746178048.0,313012224.0,4724764672.0,1984745472.0
20-10 14:47:56,3.133,0.752,96.115,0.0,0.0,0.0,9746214912.0,313012224.0,4724109312.0,1985363968.0
20-10 14:47:57,3.919,0.885,95.070,0.126,0.0,0.0,9746141184.0,313020416.0,4724117504.0,1985421312.0
20-10 14:47:58,8.010,1.377,90.363,0.250,0.0,0.0,9746718720.0,313028608.0,4724654080.0,1984299008.0
20-10 14:47:59,13.676,2.008,84.065,0.251,0.0,0.0,9772953600.0,313069568.0,4724592640.0,1958084608.0
20-10 14:48:00,14.178,3.262,82.309,0.125,0.0,0.125,9780154368.0,313081856.0,4733128704.0,1942335488.0
20-10 14:48:01,17.211,2.387,80.151,0.251,0.0,0.0,9796923392.0,313102336.0,4733952000.0,1924722688.0
20-10 14:48:02,2.642,0.503,96.855,0.0,0.0,0.0,9797332992.0,313102336.0,4733140992.0,1925124096.0
20-10 14:48:03,2.760,1.255,95.985,0.0,0.0,0.0,9798766592.0,313102336.0,4735643648.0,1921187840.0
